,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes,game_location
10,/cbb/boxscores/2021-01-12-19-michigan.html,"Tue, Jan 12, 2021",7:00p,REG,/cbb/schools/wisconsin/men/2021.html,Wisconsin,/cbb/conferences/big-ten/men/2021.html,Big Ten,17.22,W,77,54,11,0,W 11,Crisler Arena,/cbb/schools/michigan/men/2021.html,,
11,/cbb/boxscores/2021-01-16-14-minnesota.html,"Sat, Jan 16, 2021",2:00p,REG,/cbb/schools/minnesota/men/2021.html,Minnesota,/cbb/conferences/big-ten/men/2021.html,Big Ten,11.04,L,57,75,11,1,L 1,Williams Arena,/cbb/schools/michigan/men/2021.html,,@
12,/cbb/boxscores/2021-01-19-19-michigan.html,"Tue, Jan 19, 2021",7:00p,REG,/cbb/schools/maryland/men/2021.html,Maryland,/cbb/conferences/big-ten/men/2021.html,Big Ten,13.94,W,87,63,12,1,W 1,Crisler Arena,/cbb/schools/michigan/men/2021.html,,
13,/cbb/boxscores/2021-01-22-19-purdue.html,"Fri, Jan 22, 2021",7:00p,REG,/cbb/schools/purdue/men/2021.html,Purdue,/cbb/conferences/big-ten/men/2021.html,Big Ten,15.55,W,70,53,13,1,W 2,Mackey Arena,/cbb/schools/michigan/men/2021.html,,@
14,/cbb/boxscores/2021-02-14-13-wisconsin.html,"Sun, Feb 14, 2021",1:00p,REG,/cbb/schools/wisconsin/men/2021.html,Wisconsin,/cbb/conferences/big-ten/men/2021.html,Big Ten,17.22,W,67,59,14,1,W 3,Kohl Center,/cbb/schools/michigan/men/2021.html,,@
15,/cbb/boxscores/2021-02-18-21-michigan.html,"Thu, Feb 18, 2021",9:00p,REG,/cbb/schools/rutgers/men/2021.html,Rutgers,/cbb/conferences/big-ten/men/2021.html,Big Ten,14.14,W,71,64,15,1,W 4,Crisler Arena,/cbb/schools/michigan/men/2021.html,,
16,/cbb/boxscores/2021-02-21-13-ohio-state.html,"Sun, Feb 21, 2021",1:00p,REG,/cbb/schools/ohio-state/men/2021.html,Ohio State,/cbb/conferences/big-ten/men/2021.html,Big Ten,18.25,W,92,87,16,1,W 5,Value City Arena,/cbb/schools/michigan/men/2021.html,,@
17,/cbb/boxscores/2021-02-25-19-michigan.html,"Thu, Feb 25, 2021",7:00p,REG,/cbb/schools/iowa/men/2021.html,Iowa,/cbb/conferences/big-ten/men/2021.html,Big Ten,21.40,W,79,57,17,1,W 6,Crisler Arena,/cbb/schools/michigan/men/2021.html,,
18,/cbb/boxscores/2021-02-27-12-indiana.html,"Sat, Feb 27, 2021",12:00p,REG,/cbb/schools/indiana/men/2021.html,Indiana,/cbb/conferences/big-ten/men/2021.html,Big Ten,12.79,W,73,57,18,1,W 7,Assembly Hall,/cbb/schools/michigan/men/2021.html,,@
19,/cbb/boxscores/2021-03-02-19-michigan.html,"Tue, Mar 2, 2021",7:00p,REG,/cbb/schools/illinois/men/2021.html,Illinois,/cbb/conferences/big-ten/men/2021.html,Big Ten,23.25,L,53,76,18,2,L 1,Crisler Arena,/cbb/schools/michigan/men/2021.html,,
20,/cbb/boxscores/2021-03-04-19-michigan.html,"Thu, Mar 4, 2021",7:00p,REG,/cbb/schools/michigan-state/men/2021.html,Michigan State,/cbb/conferences/big-ten/men/2021.html,Big Ten,9.80,W,69,50,19,2,W 1,Crisler Arena,/cbb/schools/michigan/men/2021.html,,
21,/cbb/boxscores/2021-03-07-16-michigan-state.html,"Sun, Mar 7, 2021",4:30p,REG,/cbb/schools/michigan-state/men/2021.html,Michigan State,/cbb/conferences/big-ten/men/2021.html,Big Ten,9.80,L,64,70,19,3,L 1,Breslin Events Center,/cbb/schools/michigan/men/2021.html,,@
22,/cbb/boxscores/2021-03-12-11-michigan.html,"Fri, Mar 12, 2021",11:30a,CTOURN,/cbb/schools/maryland/men/2021.html,Maryland,/cbb/conferences/big-ten/men/2021.html,Big Ten,13.94,W,79,66,20,3,W 1,Lucas Oil Stadium,/cbb/schools/michigan/men/2021.html,,N
23,/cbb/boxscores/2021-03-13-13-michigan.html,"Sat, Mar 13, 2021",1:00p,CTOURN,/cbb/schools/ohio-state/men/2021.html,Ohio State,/cbb/conferences/big-ten/men/2021.html,Big Ten,18.25,L,67,68,20,4,L 1,Lucas Oil Stadium,/cbb/schools/michigan/men/2021.html,,N
24,/cbb/boxscores/2021-03-20-15-michigan.html,"Sat, Mar 20, 2021",3:00p,NCAA,/cbb/schools/texas-southern/men/2021.html,Texas Southern,/cbb/conferences/swac/men/2021.html,SWAC,-6.15,W,82,66,21,4,W 1,Mackey Arena,/cbb/schools/michigan/men/2021.html,,N
25,/cbb/boxscores/2021-03-22-19-michigan.html,"Mon, Mar 22, 2021",7:10p,NCAA,/cbb/schools/louisiana-state/men/2021.html,Louisiana State,/cbb/conferences/sec/men/2021.html,SEC,15.70,W,86,78,22,4,W 2,Lucas Oil Stadium,/cbb/schools/michigan/men/2021.html,,N
26,/cbb/boxscores/2021-03-28-17-michigan.html,"Sun, Mar 28, 2021",5:00p,NCAA,/cbb/schools/florida-state/men/2021.html,Florida State,/cbb/conferences/acc/men/2021.html,ACC,17.12,W,76,58,23,4,W 3,Gainbridge Fieldhouse,/cbb/schools/michigan/men/2021.html,,N
27,/cbb/boxscores/2021-03-30-21-michigan.html,"Tue, Mar 30, 2021",9:57p,NCAA,/cbb/schools/ucla/men/2021.html,UCLA,/cbb/conferences/pac-12/men/2021.html,Pac-12,16.30,L,49,51,23,5,L 1,Lucas Oil Stadium,/cbb/schools/michigan/men/2021.html,,N
