,oppLink,pts,opp_pts,homeLink,team1_srs,team1_sos,team1_pace,team1_off_rtg,team1_fta_per_fga_pct,team1_fg3a_per_fga_pct,team1_ts_pct,team1_trb_pct,team1_ast_pct,team1_stl_pct,team1_blk_pct,team1_efg_pct,team1_tov_pct,team1_orb_pct,team1_ft_rate,team1_opp_pace,team1_opp_off_rtg,team1_opp_fta_per_fga_pct,team1_opp_fg3a_per_fga_pct,team1_opp_ts_pct,team1_opp_trb_pct,team1_opp_ast_pct,team1_opp_stl_pct,team1_opp_blk_pct,team1_opp_efg_pct,team1_opp_tov_pct,team1_opp_orb_pct,team1_opp_ft_rate,team2_srs,team2_sos,team2_pace,team2_off_rtg,team2_fta_per_fga_pct,team2_fg3a_per_fga_pct,team2_ts_pct,team2_trb_pct,team2_ast_pct,team2_stl_pct,team2_blk_pct,team2_efg_pct,team2_tov_pct,team2_orb_pct,team2_ft_rate,team2_opp_pace,team2_opp_off_rtg,team2_opp_fta_per_fga_pct,team2_opp_fg3a_per_fga_pct,team2_opp_ts_pct,team2_opp_trb_pct,team2_opp_ast_pct,team2_opp_stl_pct,team2_opp_blk_pct,team2_opp_efg_pct,team2_opp_tov_pct,team2_opp_orb_pct,team2_opp_ft_rate,pts_diff
39,/cbb/schools/ucla/men/2017.html,80,97,/cbb/schools/kent-state/men/2017.html,0.88,-1.63,70.7,107.0,0.328,0.349,0.521,54.0,45.5,8.9,9.7,0.484,14.9,38.7,0.236,70.7,101.4,0.333,0.356,0.53,46.0,51.9,8.3,5.7,0.497,16.8,29.6,0.234,20.67,6.39,74.2,121.0,0.268,0.376,0.618,52.4,63.7,7.9,12.5,0.598,13.4,28.9,0.198,74.2,101.8,0.254,0.358,0.512,47.6,46.8,8.5,4.4,0.487,13.7,28.4,0.173,-17
40,/cbb/schools/northern-kentucky/men/2017.html,79,70,/cbb/schools/kentucky/men/2017.html,23.88,10.49,74.3,113.8,0.409,0.316,0.564,53.2,51.6,8.1,13.0,0.529,13.4,33.2,0.288,74.3,95.9,0.335,0.333,0.507,46.8,44.0,6.4,7.7,0.475,16.9,27.1,0.227,-0.17,-2.84,70.8,107.3,0.363,0.422,0.557,53.1,52.4,8.1,7.1,0.529,16.4,31.7,0.247,70.8,101.2,0.301,0.335,0.526,46.9,45.4,8.4,12.4,0.494,15.2,25.8,0.213,9
41,/cbb/schools/wichita-state/men/2017.html,65,62,/cbb/schools/kentucky/men/2017.html,23.88,10.49,74.3,113.8,0.409,0.316,0.564,53.2,51.6,8.1,13.0,0.529,13.4,33.2,0.288,74.3,95.9,0.335,0.333,0.507,46.8,44.0,6.4,7.7,0.475,16.9,27.1,0.227,21.24,2.96,69.4,116.7,0.401,0.364,0.579,56.1,59.1,9.4,11.4,0.543,13.9,34.3,0.294,69.4,89.9,0.359,0.388,0.48,43.9,49.5,7.6,8.9,0.437,17.2,23.6,0.249,3
42,/cbb/schools/ucla/men/2017.html,86,75,/cbb/schools/kentucky/men/2017.html,23.88,10.49,74.3,113.8,0.409,0.316,0.564,53.2,51.6,8.1,13.0,0.529,13.4,33.2,0.288,74.3,95.9,0.335,0.333,0.507,46.8,44.0,6.4,7.7,0.475,16.9,27.1,0.227,20.67,6.39,74.2,121.0,0.268,0.376,0.618,52.4,63.7,7.9,12.5,0.598,13.4,28.9,0.198,74.2,101.8,0.254,0.358,0.512,47.6,46.8,8.5,4.4,0.487,13.7,28.4,0.173,11
43,/cbb/schools/north-carolina/men/2017.html,73,75,/cbb/schools/kentucky/men/2017.html,23.88,10.49,74.3,113.8,0.409,0.316,0.564,53.2,51.6,8.1,13.0,0.529,13.4,33.2,0.288,74.3,95.9,0.335,0.333,0.507,46.8,44.0,6.4,7.7,0.475,16.9,27.1,0.227,24.84,11.76,72.6,116.0,0.348,0.303,0.55,58.2,58.9,9.7,9.7,0.519,13.4,41.3,0.244,72.6,97.0,0.314,0.395,0.517,41.8,46.6,8.6,9.6,0.48,16.6,24.5,0.228,-2
44,/cbb/schools/michigan/men/2017.html,69,73,/cbb/schools/louisville/men/2017.html,22.47,11.15,68.5,112.0,0.34,0.321,0.543,54.1,48.4,9.7,15.2,0.514,13.4,36.6,0.233,68.5,95.6,0.388,0.356,0.5,45.9,48.3,7.2,8.3,0.457,17.0,28.2,0.269,18.8,10.17,63.8,116.5,0.301,0.451,0.601,47.9,52.6,9.0,7.4,0.57,12.8,24.5,0.234,63.8,103.1,0.272,0.288,0.542,52.1,45.7,6.6,8.3,0.519,17.0,29.5,0.186,-4
45,/cbb/schools/south-carolina/men/2017.html,73,93,/cbb/schools/marquette/men/2017.html,15.26,8.6,71.1,115.2,0.31,0.415,0.607,49.6,57.1,10.1,9.3,0.576,15.5,27.0,0.242,71.1,105.9,0.356,0.342,0.553,50.4,59.5,9.2,10.3,0.522,16.0,29.1,0.249,17.52,10.16,69.9,102.9,0.398,0.334,0.518,50.8,50.6,11.0,11.1,0.477,15.5,33.5,0.278,69.9,91.8,0.441,0.349,0.507,49.2,46.0,8.4,9.7,0.454,21.0,30.2,0.319,-20
46,/cbb/schools/xavier/men/2017.html,65,76,/cbb/schools/maryland/men/2017.html,12.79,8.29,68.1,108.1,0.398,0.411,0.557,50.3,57.1,8.0,11.9,0.523,16.3,31.1,0.278,68.1,99.6,0.327,0.328,0.507,49.7,46.3,9.0,10.9,0.471,15.9,31.8,0.23,14.8,11.51,68.2,109.1,0.411,0.361,0.552,54.4,57.1,8.8,7.7,0.519,15.7,34.5,0.283,68.2,104.2,0.334,0.395,0.546,45.6,55.0,9.3,10.4,0.516,15.5,25.5,0.233,-11
47,/cbb/schools/michigan-state/men/2017.html,58,78,/cbb/schools/miami-fl/men/2017.html,14.48,9.57,64.7,106.3,0.343,0.326,0.544,53.0,47.8,9.9,10.5,0.51,16.6,33.4,0.246,64.7,98.7,0.287,0.347,0.512,47.0,51.9,9.2,8.3,0.476,16.0,28.1,0.212,13.67,10.5,68.2,105.0,0.335,0.38,0.563,52.6,65.3,6.3,11.9,0.54,18.0,29.1,0.224,68.2,100.4,0.347,0.327,0.509,47.4,53.6,8.8,8.8,0.467,13.9,26.9,0.252,-20
48,/cbb/schools/oklahoma-state/men/2017.html,92,91,/cbb/schools/michigan/men/2017.html,18.8,10.17,63.8,116.5,0.301,0.451,0.601,47.9,52.6,9.0,7.4,0.57,12.8,24.5,0.234,63.8,103.1,0.272,0.288,0.542,52.1,45.7,6.6,8.3,0.519,17.0,29.5,0.186,19.19,12.22,72.7,117.8,0.383,0.357,0.583,52.9,50.8,10.5,8.1,0.539,15.1,38.1,0.302,72.7,107.9,0.449,0.345,0.575,47.1,51.5,8.9,10.8,0.535,17.9,31.2,0.325,1
