,boxScorelink,date,time_game,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,oppLink,confLink,srs,game_location
10,/cbb/boxscores/2015-12-16-texas-tech.html,"Wed, Dec 16, 2015",8:00p,REG,Texas Tech,Big 12,L,67,79,9,2,L 1,The Thunderdome,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/texas-tech/men/2016.html,/cbb/conferences/big-12/men/2016.html,12.41,@
11,/cbb/boxscores/2015-12-19-florida-gulf-coast.html,"Sat, Dec 19, 2015",5:00p,REG,Florida Gulf Coast,A-Sun,W,56,52,10,2,W 1,Alico Arena,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/florida-gulf-coast/men/2016.html,/cbb/conferences/atlantic-sun/men/2016.html,-0.79,@
12,/cbb/boxscores/2015-12-22-weber-state.html,"Tue, Dec 22, 2015",9:00p,REG,Weber State,Big Sky,L,95,99,10,3,L 1,Dee Events Center,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/weber-state/men/2016.html,/cbb/conferences/big-sky/men/2016.html,0.18,@
13,/cbb/boxscores/2015-12-27-south-dakota-state.html,"Sun, Dec 27, 2015",5:30p,REG,Middle Tennessee,CUSA,W,65,61,11,3,W 1,Sanford Pentagon,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/middle-tennessee/men/2016.html,/cbb/conferences/cusa/men/2016.html,2.66,N
14,/cbb/boxscores/2016-01-01-south-dakota-state.html,"Fri, Jan 1, 2016",8:00p,REG,Denver,Summit,W,68,59,12,3,W 2,Frost Arena,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/denver/men/2016.html,/cbb/conferences/summit/men/2016.html,-3.34,
15,/cbb/boxscores/2016-01-03-south-dakota-state.html,"Sun, Jan 3, 2016",3:00p,REG,Western Illinois,Summit,W,63,59,13,3,W 3,Frost Arena,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/western-illinois/men/2016.html,/cbb/conferences/summit/men/2016.html,-6.20,
16,/cbb/boxscores/2016-01-07-iupui.html,"Thu, Jan 7, 2016",7:00p,REG,IUPUI,Summit,L,67,74,13,4,L 1,Indiana Farmers Coliseum,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/iupui/men/2016.html,/cbb/conferences/summit/men/2016.html,-5.86,@
17,/cbb/boxscores/2016-01-14-south-dakota-state.html,"Thu, Jan 14, 2016",8:00p,REG,Purdue Fort Wayne,Summit,W,92,76,14,4,W 1,Frost Arena,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/ipfw/men/2016.html,/cbb/conferences/summit/men/2016.html,0.00,
18,/cbb/boxscores/2016-01-16-north-dakota-state.html,"Sat, Jan 16, 2016",5:30p,REG,North Dakota State,Summit,L,57,68,14,5,L 1,Bison Sports Arena,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/north-dakota-state/men/2016.html,/cbb/conferences/summit/men/2016.html,-0.93,@
19,/cbb/boxscores/2016-01-21-oral-roberts.html,"Thu, Jan 21, 2016",8:00p,REG,Oral Roberts,Summit,W,86,74,15,5,W 1,Mabee Center,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/oral-roberts/men/2016.html,/cbb/conferences/summit/men/2016.html,-2.69,@
20,/cbb/boxscores/2016-01-23-south-dakota.html,"Sat, Jan 23, 2016",5:00p,REG,South Dakota,Summit,W,79,75,16,5,W 2,DakotaDome ,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/south-dakota/men/2016.html,/cbb/conferences/summit/men/2016.html,-5.58,@
21,/cbb/boxscores/2016-01-28-south-dakota-state.html,"Thu, Jan 28, 2016",8:00p,REG,Omaha,Summit,W,87,76,17,5,W 3,Frost Arena,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/nebraska-omaha/men/2016.html,/cbb/conferences/summit/men/2016.html,-0.24,
22,/cbb/boxscores/2016-01-30-denver.html,"Sat, Jan 30, 2016",4:00p,REG,Denver,Summit,W,67,56,18,5,W 4,Magness Arena,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/denver/men/2016.html,/cbb/conferences/summit/men/2016.html,-3.34,@
23,/cbb/boxscores/2016-02-06-south-dakota-state.html,"Sat, Feb 6, 2016",8:00p,REG,IUPUI,Summit,W,80,58,19,5,W 5,Frost Arena,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/iupui/men/2016.html,/cbb/conferences/summit/men/2016.html,-5.86,
24,/cbb/boxscores/2016-02-10-nebraska-omaha.html,"Wed, Feb 10, 2016",8:00p,REG,Omaha,Summit,L,92,96,19,6,L 1,Baxter Arena,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/nebraska-omaha/men/2016.html,/cbb/conferences/summit/men/2016.html,-0.24,@
25,/cbb/boxscores/2016-02-13-south-dakota-state.html,"Sat, Feb 13, 2016",5:30p,REG,South Dakota,Summit,W,85,68,20,6,W 1,Frost Arena,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/south-dakota/men/2016.html,/cbb/conferences/summit/men/2016.html,-5.58,
26,/cbb/boxscores/2016-02-18-ipfw.html,"Thu, Feb 18, 2016",7:00p,REG,Purdue Fort Wayne,Summit,L,79,91,20,7,L 1,Hilliard Gates Sports Center,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/ipfw/men/2016.html,/cbb/conferences/summit/men/2016.html,0.00,@
27,/cbb/boxscores/2016-02-20-western-illinois.html,"Sat, Feb 20, 2016",3:00p,REG,Western Illinois,Summit,W,87,67,21,7,W 1,Western Hall,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/western-illinois/men/2016.html,/cbb/conferences/summit/men/2016.html,-6.20,@
28,/cbb/boxscores/2016-02-25-south-dakota-state.html,"Thu, Feb 25, 2016",8:00p,REG,North Dakota State,Summit,W,71,59,22,7,W 2,Frost Arena,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/north-dakota-state/men/2016.html,/cbb/conferences/summit/men/2016.html,-0.93,
29,/cbb/boxscores/2016-02-27-south-dakota-state.html,"Sat, Feb 27, 2016",5:30p,REG,Oral Roberts,Summit,W,73,65,23,7,W 3,Frost Arena,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/oral-roberts/men/2016.html,/cbb/conferences/summit/men/2016.html,-2.69,
30,/cbb/boxscores/2016-03-05-south-dakota-state.html,"Sat, Mar 5, 2016",9:30p,CTOURN,Oral Roberts,Summit,W,73,70,24,7,W 4,,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/oral-roberts/men/2016.html,/cbb/conferences/summit/men/2016.html,-2.69,N
31,/cbb/boxscores/2016-03-07-south-dakota-state.html,"Mon, Mar 7, 2016",9:30p,CTOURN,Denver,Summit,W,54,53,25,7,W 5,Sanford Pentagon,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/denver/men/2016.html,/cbb/conferences/summit/men/2016.html,-3.34,N
32,/cbb/boxscores/2016-03-08-south-dakota-state.html,"Tue, Mar 8, 2016",9:00p,CTOURN,North Dakota State,Summit,W,67,59,26,7,W 6,Sanford Pentagon,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/north-dakota-state/men/2016.html,/cbb/conferences/summit/men/2016.html,-0.93,N
33,/cbb/boxscores/2016-03-18-maryland.html,"Fri, Mar 18, 2016",4:30p,NCAA,Maryland,Big Ten,L,74,79,26,8,L 1,,/cbb/schools/south-dakota-state/men/2016.html,/cbb/schools/maryland/men/2016.html,/cbb/conferences/big-ten/men/2016.html,16.71,N
