,boxScorelink,date,game_type,opp,confLink,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,oppLink,srs,game_location,overtimes
10,/cbb/boxscores/2009-12-19-michigan-state.html,"Sat, Dec 19, 2009",REG,Purdue Fort Wayne,/cbb/conferences/summit/men/2010.html,Summit,W,80,58,9,2,W 4,Breslin Student Events Center,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/ipfw/men/2010.html,-9.42,,
11,/cbb/boxscores/2009-12-22-texas.html,"Tue, Dec 22, 2009",REG,Texas,/cbb/conferences/big-12/men/2010.html,Big 12,L,68,79,9,3,L 1,Frank Erwin Center,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/texas/men/2010.html,18.56,@,
12,/cbb/boxscores/2009-12-30-michigan-state.html,"Wed, Dec 30, 2009",REG,UT Arlington,/cbb/conferences/southland/men/2010.html,Southland,W,87,68,10,3,W 1,Breslin Student Events Center,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/texas-arlington/men/2010.html,-8.06,,
13,/cbb/boxscores/2010-01-02-northwestern.html,"Sat, Jan 2, 2010",REG,Northwestern,/cbb/conferences/big-ten/men/2010.html,Big Ten,W,91,70,11,3,W 2,Welsh-Ryan Arena,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/northwestern/men/2010.html,8.32,@,
14,/cbb/boxscores/2010-01-06-michigan-state.html,"Wed, Jan 6, 2010",REG,Wisconsin,/cbb/conferences/big-ten/men/2010.html,Big Ten,W,54,47,12,3,W 3,Breslin Student Events Center,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/wisconsin/men/2010.html,17.84,,
15,/cbb/boxscores/2010-01-09-iowa.html,"Sat, Jan 9, 2010",REG,Iowa,/cbb/conferences/big-ten/men/2010.html,Big Ten,W,71,53,13,3,W 4,Carver-Hawkeye Arena,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/iowa/men/2010.html,2.12,@,
16,/cbb/boxscores/2010-01-13-michigan-state.html,"Wed, Jan 13, 2010",REG,Minnesota,/cbb/conferences/big-ten/men/2010.html,Big Ten,W,60,53,14,3,W 5,Breslin Student Events Center,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/minnesota/men/2010.html,15.64,,
17,/cbb/boxscores/2010-01-16-michigan-state.html,"Sat, Jan 16, 2010",REG,Illinois,/cbb/conferences/big-ten/men/2010.html,Big Ten,W,73,63,15,3,W 6,Breslin Student Events Center,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/illinois/men/2010.html,11.58,,
18,/cbb/boxscores/2010-01-20-michigan-state.html,"Wed, Jan 20, 2010",REG,Iowa,/cbb/conferences/big-ten/men/2010.html,Big Ten,W,70,63,16,3,W 7,Breslin Student Events Center,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/iowa/men/2010.html,2.12,,
19,/cbb/boxscores/2010-01-23-minnesota.html,"Sat, Jan 23, 2010",REG,Minnesota,/cbb/conferences/big-ten/men/2010.html,Big Ten,W,65,64,17,3,W 8,Williams Arena,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/minnesota/men/2010.html,15.64,@,
20,/cbb/boxscores/2010-01-26-michigan.html,"Tue, Jan 26, 2010",REG,Michigan,/cbb/conferences/big-ten/men/2010.html,Big Ten,W,57,56,18,3,W 9,Crisler Arena,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/michigan/men/2010.html,10.04,@,
21,/cbb/boxscores/2010-01-30-michigan-state.html,"Sat, Jan 30, 2010",REG,Northwestern,/cbb/conferences/big-ten/men/2010.html,Big Ten,W,79,70,19,3,W 10,Breslin Student Events Center,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/northwestern/men/2010.html,8.32,,
22,/cbb/boxscores/2010-02-02-wisconsin.html,"Tue, Feb 2, 2010",REG,Wisconsin,/cbb/conferences/big-ten/men/2010.html,Big Ten,L,49,67,19,4,L 1,Kohl Center,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/wisconsin/men/2010.html,17.84,@,
23,/cbb/boxscores/2010-02-06-illinois.html,"Sat, Feb 6, 2010",REG,Illinois,/cbb/conferences/big-ten/men/2010.html,Big Ten,L,73,78,19,5,L 2,Assembly Hall,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/illinois/men/2010.html,11.58,@,
24,/cbb/boxscores/2010-02-09-michigan-state.html,"Tue, Feb 9, 2010",REG,Purdue,/cbb/conferences/big-ten/men/2010.html,Big Ten,L,64,76,19,6,L 3,Breslin Student Events Center,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/purdue/men/2010.html,17.52,,
25,/cbb/boxscores/2010-02-13-penn-state.html,"Sat, Feb 13, 2010",REG,Penn State,/cbb/conferences/big-ten/men/2010.html,Big Ten,W,65,54,20,6,W 1,Bryce Jordan Center,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/penn-state/men/2010.html,6.58,@,
26,/cbb/boxscores/2010-02-16-indiana.html,"Tue, Feb 16, 2010",REG,Indiana,/cbb/conferences/big-ten/men/2010.html,Big Ten,W,72,58,21,6,W 2,Assembly Hall,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/indiana/men/2010.html,0.76,@,
27,/cbb/boxscores/2010-02-21-michigan-state.html,"Sun, Feb 21, 2010",REG,Ohio State,/cbb/conferences/big-ten/men/2010.html,Big Ten,L,67,74,21,7,L 1,Breslin Student Events Center,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/ohio-state/men/2010.html,19.49,,
28,/cbb/boxscores/2010-02-28-purdue.html,"Sun, Feb 28, 2010",REG,Purdue,/cbb/conferences/big-ten/men/2010.html,Big Ten,W,53,44,22,7,W 1,Mackey Arena,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/purdue/men/2010.html,17.52,@,
29,/cbb/boxscores/2010-03-04-michigan-state.html,"Thu, Mar 4, 2010",REG,Penn State,/cbb/conferences/big-ten/men/2010.html,Big Ten,W,67,65,23,7,W 2,Breslin Student Events Center,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/penn-state/men/2010.html,6.58,,
30,/cbb/boxscores/2010-03-07-michigan-state.html,"Sun, Mar 7, 2010",REG,Michigan,/cbb/conferences/big-ten/men/2010.html,Big Ten,W,64,48,24,7,W 3,Breslin Student Events Center,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/michigan/men/2010.html,10.04,,
31,/cbb/boxscores/2010-03-12-michigan-state.html,"Fri, Mar 12, 2010",CTOURN,Minnesota,/cbb/conferences/big-ten/men/2010.html,Big Ten,L,67,72,24,8,L 1,Conseco Fieldhouse,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/minnesota/men/2010.html,15.64,N,OT
32,/cbb/boxscores/2010-03-19-michigan-state.html,"Fri, Mar 19, 2010",NCAA,New Mexico State,/cbb/conferences/wac/men/2010.html,WAC,W,70,67,25,8,W 1,Spokane Veterans Memorial Arena,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/new-mexico-state/men/2010.html,2.06,N,
33,/cbb/boxscores/2010-03-21-maryland.html,"Sun, Mar 21, 2010",NCAA,Maryland,/cbb/conferences/acc/men/2010.html,ACC,W,85,83,26,8,W 2,Spokane Veterans Memorial Arena,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/maryland/men/2010.html,17.75,N,
34,/cbb/boxscores/2010-03-26-michigan-state.html,"Fri, Mar 26, 2010",NCAA,Northern Iowa,/cbb/conferences/mvc/men/2010.html,MVC,W,59,52,27,8,W 3,Edward Jones Dome,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/northern-iowa/men/2010.html,12.03,N,
35,/cbb/boxscores/2010-03-28-michigan-state.html,"Sun, Mar 28, 2010",NCAA,Tennessee,/cbb/conferences/sec/men/2010.html,SEC,W,70,69,28,8,W 4,Edward Jones Dome,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/tennessee/men/2010.html,16.05,N,
36,/cbb/boxscores/2010-04-03-butler.html,"Sat, Apr 3, 2010",NCAA,Butler,/cbb/conferences/horizon/men/2010.html,Horizon,L,50,52,28,9,L 1,Lucas Oil Stadium,/cbb/schools/michigan-state/men/2010.html,/cbb/schools/butler/men/2010.html,14.37,N,
