,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,homeLink,game_location,arena,overtimes
22,/cbb/boxscores/2024-02-07-19-michigan.html,"Wed, Feb 7, 2024",7:00p,REG,/cbb/schools/michigan/men/2024.html,Michigan,/cbb/conferences/big-ten/men/2024.html,Big Ten,5.54,L,68,72,16,7,L 3,/cbb/schools/wisconsin/men/2024.html,@,Crisler Center,
23,/cbb/boxscores/2024-02-10-12-rutgers.html,"Sat, Feb 10, 2024",12:00p,REG,/cbb/schools/rutgers/men/2024.html,Rutgers,/cbb/conferences/big-ten/men/2024.html,Big Ten,7.61,L,56,78,16,8,L 4,/cbb/schools/wisconsin/men/2024.html,@,Jersey Mike's Arena,
24,/cbb/boxscores/2024-02-13-21-wisconsin.html,"Tue, Feb 13, 2024",9:00p,REG,/cbb/schools/ohio-state/men/2024.html,Ohio State,/cbb/conferences/big-ten/men/2024.html,Big Ten,13.92,W,62,54,17,8,W 1,/cbb/schools/wisconsin/men/2024.html,,,
25,/cbb/boxscores/2024-02-17-14-iowa.html,"Sat, Feb 17, 2024",2:15p,REG,/cbb/schools/iowa/men/2024.html,Iowa,/cbb/conferences/big-ten/men/2024.html,Big Ten,13.42,L,86,88,17,9,L 1,/cbb/schools/wisconsin/men/2024.html,@,Carver-Hawkeye Arena,OT
26,/cbb/boxscores/2024-02-20-21-wisconsin.html,"Tue, Feb 20, 2024",9:00p,REG,/cbb/schools/maryland/men/2024.html,Maryland,/cbb/conferences/big-ten/men/2024.html,Big Ten,10.83,W,74,70,18,9,W 1,/cbb/schools/wisconsin/men/2024.html,,,
27,/cbb/boxscores/2024-02-27-00-indiana.html,"Tue, Feb 27, 2024",7:00p,REG,/cbb/schools/indiana/men/2024.html,Indiana,/cbb/conferences/big-ten/men/2024.html,Big Ten,7.98,L,70,74,18,10,L 1,/cbb/schools/wisconsin/men/2024.html,@,Simon Skjodt Assembly Hall,
28,/cbb/boxscores/2024-03-02-13-wisconsin.html,"Sat, Mar 2, 2024",1:00p,REG,/cbb/schools/illinois/men/2024.html,Illinois,/cbb/conferences/big-ten/men/2024.html,Big Ten,19.84,L,83,91,18,11,L 2,/cbb/schools/wisconsin/men/2024.html,,,
29,/cbb/boxscores/2024-03-07-19-wisconsin.html,"Thu, Mar 7, 2024",7:00p,REG,/cbb/schools/rutgers/men/2024.html,Rutgers,/cbb/conferences/big-ten/men/2024.html,Big Ten,7.61,W,78,66,19,11,W 1,/cbb/schools/wisconsin/men/2024.html,,,
30,/cbb/boxscores/2024-03-10-12-purdue.html,"Sun, Mar 10, 2024",12:30p,REG,/cbb/schools/purdue/men/2024.html,Purdue,/cbb/conferences/big-ten/men/2024.html,Big Ten,24.73,L,70,78,19,12,L 1,/cbb/schools/wisconsin/men/2024.html,@,Mackey Arena,
31,/cbb/boxscores/2024-03-14-14-wisconsin.html,"Thu, Mar 14, 2024",2:30p,CTOURN,/cbb/schools/maryland/men/2024.html,Maryland,/cbb/conferences/big-ten/men/2024.html,Big Ten,10.83,W,87,56,20,12,W 1,/cbb/schools/wisconsin/men/2024.html,N,Target Center,
32,/cbb/boxscores/2024-03-15-14-northwestern.html,"Fri, Mar 15, 2024",2:30p,CTOURN,/cbb/schools/northwestern/men/2024.html,Northwestern,/cbb/conferences/big-ten/men/2024.html,Big Ten,12.72,W,70,61,21,12,W 2,/cbb/schools/wisconsin/men/2024.html,N,Target Center,
33,/cbb/boxscores/2024-03-16-13-purdue.html,"Sat, Mar 16, 2024",1:00p,CTOURN,/cbb/schools/purdue/men/2024.html,Purdue,/cbb/conferences/big-ten/men/2024.html,Big Ten,24.73,W,76,75,22,12,W 3,/cbb/schools/wisconsin/men/2024.html,N,Target Center,OT
34,/cbb/boxscores/2024-03-17-15-illinois.html,"Sun, Mar 17, 2024",3:30p,CTOURN,/cbb/schools/illinois/men/2024.html,Illinois,/cbb/conferences/big-ten/men/2024.html,Big Ten,19.84,L,87,93,22,13,L 1,/cbb/schools/wisconsin/men/2024.html,N,Target Center,
35,,"['Fri, Mar 22, 2024']",9:40p,NCAA,/cbb/schools/james-madison/men/2024.html,James Madison,/cbb/conferences/sun-belt/men/2024.html,Sun Belt,8.63,,,,,,,/cbb/schools/wisconsin/men/2024.html,N,Barclays Center,
