,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,overtimes,wins,losses,game_streak,arena,homeLink,game_location
13,/cbb/boxscores/2013-12-31-providence.html,"Tue, Dec 31, 2013",REG,/cbb/schools/seton-hall/men/2014.html,Seton Hall,/cbb/conferences/big-east/men/2014.html,Big East,7.53,L,80,81,2OT,10,4,L 2,Dunkin Donuts Center,/cbb/schools/providence/men/2014.html,
14,/cbb/boxscores/2014-01-05-villanova.html,"Sun, Jan 5, 2014",REG,/cbb/schools/villanova/men/2014.html,Villanova,/cbb/conferences/big-east/men/2014.html,Big East,18.97,L,61,91,,10,5,L 3,Wells Fargo Center,/cbb/schools/providence/men/2014.html,@
15,/cbb/boxscores/2014-01-08-providence.html,"Wed, Jan 8, 2014",REG,/cbb/schools/georgetown/men/2014.html,Georgetown,/cbb/conferences/big-east/men/2014.html,Big East,10.96,W,70,52,,11,5,W 1,Dunkin Donuts Center,/cbb/schools/providence/men/2014.html,
16,/cbb/boxscores/2014-01-16-st-johns-ny.html,"Thu, Jan 16, 2014",REG,/cbb/schools/st-johns-ny/men/2014.html,St. John's (NY),/cbb/conferences/big-east/men/2014.html,Big East,11.68,W,84,83,2OT,12,5,W 2,Carnesecca Arena,/cbb/schools/providence/men/2014.html,@
17,/cbb/boxscores/2014-01-18-providence.html,"Sat, Jan 18, 2014",REG,/cbb/schools/creighton/men/2014.html,Creighton,/cbb/conferences/big-east/men/2014.html,Big East,18.03,W,81,68,,13,5,W 3,Dunkin Donuts Center,/cbb/schools/providence/men/2014.html,
18,/cbb/boxscores/2014-01-21-providence.html,"Tue, Jan 21, 2014",REG,/cbb/schools/butler/men/2014.html,Butler,/cbb/conferences/big-east/men/2014.html,Big East,7.04,W,65,56,,14,5,W 4,Dunkin Donuts Center,/cbb/schools/providence/men/2014.html,
19,/cbb/boxscores/2014-01-25-providence.html,"Sat, Jan 25, 2014",REG,/cbb/schools/xavier/men/2014.html,Xavier,/cbb/conferences/big-east/men/2014.html,Big East,11.84,W,81,72,,15,5,W 5,Dunkin Donuts Center,/cbb/schools/providence/men/2014.html,
20,/cbb/boxscores/2014-01-30-marquette.html,"Thu, Jan 30, 2014",REG,/cbb/schools/marquette/men/2014.html,Marquette,/cbb/conferences/big-east/men/2014.html,Big East,10.08,L,50,61,,15,6,L 1,Bradley Center,/cbb/schools/providence/men/2014.html,@
21,/cbb/boxscores/2014-02-01-depaul.html,"Sat, Feb 1, 2014",REG,/cbb/schools/depaul/men/2014.html,DePaul,/cbb/conferences/big-east/men/2014.html,Big East,1.50,W,77,72,,16,6,W 1,Allstate Arena,/cbb/schools/providence/men/2014.html,@
22,/cbb/boxscores/2014-02-04-providence.html,"Tue, Feb 4, 2014",REG,/cbb/schools/st-johns-ny/men/2014.html,St. John's (NY),/cbb/conferences/big-east/men/2014.html,Big East,11.68,L,76,86,,16,7,L 1,Dunkin Donuts Center,/cbb/schools/providence/men/2014.html,
23,/cbb/boxscores/2014-02-08-xavier.html,"Sat, Feb 8, 2014",REG,/cbb/schools/xavier/men/2014.html,Xavier,/cbb/conferences/big-east/men/2014.html,Big East,11.84,L,53,59,,16,8,L 2,Cintas Center,/cbb/schools/providence/men/2014.html,@
24,/cbb/boxscores/2014-02-10-georgetown.html,"Mon, Feb 10, 2014",REG,/cbb/schools/georgetown/men/2014.html,Georgetown,/cbb/conferences/big-east/men/2014.html,Big East,10.96,L,71,83,,16,9,L 3,Verizon Center,/cbb/schools/providence/men/2014.html,@
25,/cbb/boxscores/2014-02-15-providence.html,"Sat, Feb 15, 2014",REG,/cbb/schools/depaul/men/2014.html,DePaul,/cbb/conferences/big-east/men/2014.html,Big East,1.50,W,84,61,,17,9,W 1,Dunkin Donuts Center,/cbb/schools/providence/men/2014.html,
26,/cbb/boxscores/2014-02-18-providence.html,"Tue, Feb 18, 2014",REG,/cbb/schools/villanova/men/2014.html,Villanova,/cbb/conferences/big-east/men/2014.html,Big East,18.97,L,79,82,2OT,17,10,L 1,Dunkin Donuts Center,/cbb/schools/providence/men/2014.html,
27,/cbb/boxscores/2014-02-23-butler.html,"Sun, Feb 23, 2014",REG,/cbb/schools/butler/men/2014.html,Butler,/cbb/conferences/big-east/men/2014.html,Big East,7.04,W,87,81,,18,10,W 1,Hinkle Fieldhouse,/cbb/schools/providence/men/2014.html,@
28,/cbb/boxscores/2014-02-28-seton-hall.html,"Fri, Feb 28, 2014",REG,/cbb/schools/seton-hall/men/2014.html,Seton Hall,/cbb/conferences/big-east/men/2014.html,Big East,7.53,W,74,69,,19,10,W 2,Prudential Center,/cbb/schools/providence/men/2014.html,@
29,/cbb/boxscores/2014-03-04-providence.html,"Tue, Mar 4, 2014",REG,/cbb/schools/marquette/men/2014.html,Marquette,/cbb/conferences/big-east/men/2014.html,Big East,10.08,W,81,80,2OT,20,10,W 3,Dunkin Donuts Center,/cbb/schools/providence/men/2014.html,
30,/cbb/boxscores/2014-03-08-creighton.html,"Sat, Mar 8, 2014",REG,/cbb/schools/creighton/men/2014.html,Creighton,/cbb/conferences/big-east/men/2014.html,Big East,18.03,L,73,88,,20,11,L 1,CenturyLink Center Omaha,/cbb/schools/providence/men/2014.html,@
31,/cbb/boxscores/2014-03-13-providence.html,"Thu, Mar 13, 2014",CTOURN,/cbb/schools/st-johns-ny/men/2014.html,St. John's (NY),/cbb/conferences/big-east/men/2014.html,Big East,11.68,W,79,74,,21,11,W 1,,/cbb/schools/providence/men/2014.html,N
32,/cbb/boxscores/2014-03-14-providence.html,"Fri, Mar 14, 2014",CTOURN,/cbb/schools/seton-hall/men/2014.html,Seton Hall,/cbb/conferences/big-east/men/2014.html,Big East,7.53,W,80,74,,22,11,W 2,,/cbb/schools/providence/men/2014.html,N
33,/cbb/boxscores/2014-03-15-creighton.html,"Sat, Mar 15, 2014",CTOURN,/cbb/schools/creighton/men/2014.html,Creighton,/cbb/conferences/big-east/men/2014.html,Big East,18.03,W,65,58,,23,11,W 3,Madison Square Garden (IV),/cbb/schools/providence/men/2014.html,N
34,/cbb/boxscores/2014-03-21-north-carolina.html,"Fri, Mar 21, 2014",NCAA,/cbb/schools/north-carolina/men/2014.html,North Carolina,/cbb/conferences/acc/men/2014.html,ACC,15.24,L,77,79,,23,12,L 1,AT&T Center,/cbb/schools/providence/men/2014.html,N
