,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,homeLink,arena,overtimes
21,/cbb/boxscores/2014-02-04-baylor.html,"Tue, Feb 4, 2014",REG,,/cbb/schools/kansas/men/2014.html,Kansas,/cbb/conferences/big-12/men/2014.html,Big 12,20.25,L,52,69,14,8,L 1,/cbb/schools/baylor/men/2014.html,Ferrell Center,
22,/cbb/boxscores/2014-02-08-oklahoma.html,"Sat, Feb 8, 2014",REG,@,/cbb/schools/oklahoma/men/2014.html,Oklahoma,/cbb/conferences/big-12/men/2014.html,Big 12,14.91,L,72,88,14,9,L 2,/cbb/schools/baylor/men/2014.html,Lloyd Noble Center,
23,/cbb/boxscores/2014-02-12-texas-christian.html,"Wed, Feb 12, 2014",REG,@,/cbb/schools/texas-christian/men/2014.html,TCU,/cbb/conferences/big-12/men/2014.html,Big 12,-1.33,W,91,58,15,9,W 1,/cbb/schools/baylor/men/2014.html,Daniel-Meyer Coliseum,
24,/cbb/boxscores/2014-02-15-baylor.html,"Sat, Feb 15, 2014",REG,,/cbb/schools/kansas-state/men/2014.html,Kansas State,/cbb/conferences/big-12/men/2014.html,Big 12,12.14,W,87,73,16,9,W 2,/cbb/schools/baylor/men/2014.html,Ferrell Center,2OT
25,/cbb/boxscores/2014-02-17-baylor.html,"Mon, Feb 17, 2014",REG,,/cbb/schools/oklahoma-state/men/2014.html,Oklahoma State,/cbb/conferences/big-12/men/2014.html,Big 12,19.02,W,70,64,17,9,W 3,/cbb/schools/baylor/men/2014.html,Ferrell Center,OT
26,/cbb/boxscores/2014-02-22-west-virginia.html,"Sat, Feb 22, 2014",REG,@,/cbb/schools/west-virginia/men/2014.html,West Virginia,/cbb/conferences/big-12/men/2014.html,Big 12,11.78,W,88,75,18,9,W 4,/cbb/schools/baylor/men/2014.html,WVU Coliseum,
27,/cbb/boxscores/2014-02-26-texas.html,"Wed, Feb 26, 2014",REG,@,/cbb/schools/texas/men/2014.html,Texas,/cbb/conferences/big-12/men/2014.html,Big 12,12.67,L,69,74,18,10,L 1,/cbb/schools/baylor/men/2014.html,Frank Erwin Center,
28,/cbb/boxscores/2014-03-01-baylor.html,"Sat, Mar 1, 2014",REG,,/cbb/schools/texas-tech/men/2014.html,Texas Tech,/cbb/conferences/big-12/men/2014.html,Big 12,8.61,W,59,49,19,10,W 1,/cbb/schools/baylor/men/2014.html,Ferrell Center,
29,/cbb/boxscores/2014-03-04-baylor.html,"Tue, Mar 4, 2014",REG,,/cbb/schools/iowa-state/men/2014.html,Iowa State,/cbb/conferences/big-12/men/2014.html,Big 12,18.52,W,74,61,20,10,W 2,/cbb/schools/baylor/men/2014.html,Ferrell Center,
30,/cbb/boxscores/2014-03-08-kansas-state.html,"Sat, Mar 8, 2014",REG,@,/cbb/schools/kansas-state/men/2014.html,Kansas State,/cbb/conferences/big-12/men/2014.html,Big 12,12.14,W,76,74,21,10,W 3,/cbb/schools/baylor/men/2014.html,Bramlage Coliseum,
31,/cbb/boxscores/2014-03-12-baylor.html,"Wed, Mar 12, 2014",CTOURN,N,/cbb/schools/texas-christian/men/2014.html,TCU,/cbb/conferences/big-12/men/2014.html,Big 12,-1.33,W,76,68,22,10,W 4,/cbb/schools/baylor/men/2014.html,Sprint Center,
32,/cbb/boxscores/2014-03-13-baylor.html,"Thu, Mar 13, 2014",CTOURN,N,/cbb/schools/oklahoma/men/2014.html,Oklahoma,/cbb/conferences/big-12/men/2014.html,Big 12,14.91,W,78,73,23,10,W 5,/cbb/schools/baylor/men/2014.html,Sprint Center,
33,/cbb/boxscores/2014-03-14-baylor.html,"Fri, Mar 14, 2014",CTOURN,N,/cbb/schools/texas/men/2014.html,Texas,/cbb/conferences/big-12/men/2014.html,Big 12,12.67,W,86,69,24,10,W 6,/cbb/schools/baylor/men/2014.html,Sprint Center,
34,/cbb/boxscores/2014-03-15-baylor.html,"Sat, Mar 15, 2014",CTOURN,N,/cbb/schools/iowa-state/men/2014.html,Iowa State,/cbb/conferences/big-12/men/2014.html,Big 12,18.52,L,65,74,24,11,L 1,/cbb/schools/baylor/men/2014.html,Sprint Center,
35,/cbb/boxscores/2014-03-21-baylor.html,"Fri, Mar 21, 2014",NCAA,N,/cbb/schools/nebraska/men/2014.html,Nebraska,/cbb/conferences/big-ten/men/2014.html,Big Ten,10.13,W,74,60,25,11,W 1,/cbb/schools/baylor/men/2014.html,AT&T Center,
36,/cbb/boxscores/2014-03-23-baylor.html,"Sun, Mar 23, 2014",NCAA,N,/cbb/schools/creighton/men/2014.html,Creighton,/cbb/conferences/big-east/men/2014.html,Big East,18.03,W,85,55,26,11,W 2,/cbb/schools/baylor/men/2014.html,AT&T Center,
37,/cbb/boxscores/2014-03-27-baylor.html,"Thu, Mar 27, 2014",NCAA,N,/cbb/schools/wisconsin/men/2014.html,Wisconsin,/cbb/conferences/big-ten/men/2014.html,Big Ten,19.69,L,52,69,26,12,L 1,/cbb/schools/baylor/men/2014.html,Honda Center,
