,boxScorelink,date,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs
15,/cbb/boxscores/2013-01-17-northwestern-state.html,"Thu, Jan 17, 2013",REG,Nicholls State,Southland,L,78,93,10,6,L 1,Prather Coliseum,/cbb/schools/northwestern-state/men/2013.html,,/cbb/schools/nicholls-state/men/2013.html,/cbb/conferences/southland/men/2013.html,-10.56
16,/cbb/boxscores/2013-01-19-northwestern-state.html,"Sat, Jan 19, 2013",REG,Southeastern Louisiana,Southland,W,103,68,11,6,W 1,Prather Coliseum,/cbb/schools/northwestern-state/men/2013.html,,/cbb/schools/southeastern-louisiana/men/2013.html,/cbb/conferences/southland/men/2013.html,-10.67
17,/cbb/boxscores/2013-01-26-northwestern-state.html,"Sat, Jan 26, 2013",REG,Stephen F. Austin,Southland,W,61,57,12,6,W 2,Prather Coliseum,/cbb/schools/northwestern-state/men/2013.html,,/cbb/schools/stephen-f-austin/men/2013.html,/cbb/conferences/southland/men/2013.html,4.23
18,/cbb/boxscores/2013-01-31-lamar.html,"Thu, Jan 31, 2013",REG,Lamar,Southland,W,85,63,13,6,W 3,Montagne Center,/cbb/schools/northwestern-state/men/2013.html,@,/cbb/schools/lamar/men/2013.html,/cbb/conferences/southland/men/2013.html,-20.56
19,/cbb/boxscores/2013-02-03-mcneese-state.html,"Sun, Feb 3, 2013",REG,McNeese State,Southland,W,86,74,14,6,W 4,Burton Coliseum,/cbb/schools/northwestern-state/men/2013.html,@,/cbb/schools/mcneese-state/men/2013.html,/cbb/conferences/southland/men/2013.html,-11.50
20,/cbb/boxscores/2013-02-07-northwestern-state.html,"Thu, Feb 7, 2013",REG,Oral Roberts,Southland,W,85,73,15,6,W 5,Prather Coliseum,/cbb/schools/northwestern-state/men/2013.html,,/cbb/schools/oral-roberts/men/2013.html,/cbb/conferences/southland/men/2013.html,-0.27
21,/cbb/boxscores/2013-02-09-northwestern-state.html,"Sat, Feb 9, 2013",REG,Central Arkansas,Southland,W,93,73,16,6,W 6,Prather Coliseum,/cbb/schools/northwestern-state/men/2013.html,,/cbb/schools/central-arkansas/men/2013.html,/cbb/conferences/southland/men/2013.html,-10.89
22,/cbb/boxscores/2013-02-14-southeastern-louisiana.html,"Thu, Feb 14, 2013",REG,Southeastern Louisiana,Southland,W,79,76,17,6,W 7,University Center,/cbb/schools/northwestern-state/men/2013.html,@,/cbb/schools/southeastern-louisiana/men/2013.html,/cbb/conferences/southland/men/2013.html,-10.67
23,/cbb/boxscores/2013-02-16-nicholls-state.html,"Sat, Feb 16, 2013",REG,Nicholls State,Southland,W,84,79,18,6,W 8,David Stopher Gymnasium,/cbb/schools/northwestern-state/men/2013.html,@,/cbb/schools/nicholls-state/men/2013.html,/cbb/conferences/southland/men/2013.html,-10.56
24,/cbb/boxscores/2013-02-19-texas-am-corpus-christi.html,"Tue, Feb 19, 2013",REG,Texas A&M-Corpus Christi,Southland,W,82,71,19,6,W 9,American Bank Center,/cbb/schools/northwestern-state/men/2013.html,@,/cbb/schools/texas-am-corpus-christi/men/2013.html,/cbb/conferences/southland/men/2013.html,-11.78
25,/cbb/boxscores/2013-02-23-niagara.html,"Sat, Feb 23, 2013",REG,Niagara,MAAC,L,76,92,19,7,L 1,Gallagher Center,/cbb/schools/northwestern-state/men/2013.html,@,/cbb/schools/niagara/men/2013.html,/cbb/conferences/maac/men/2013.html,0.59
26,/cbb/boxscores/2013-03-02-stephen-f-austin.html,"Sat, Mar 2, 2013",REG,Stephen F. Austin,Southland,L,63,64,19,8,L 2,William Johnson Coliseum,/cbb/schools/northwestern-state/men/2013.html,@,/cbb/schools/stephen-f-austin/men/2013.html,/cbb/conferences/southland/men/2013.html,4.23
27,/cbb/boxscores/2013-03-07-northwestern-state.html,"Thu, Mar 7, 2013",REG,Texas A&M-Corpus Christi,Southland,W,66,51,20,8,W 1,Prather Coliseum,/cbb/schools/northwestern-state/men/2013.html,,/cbb/schools/texas-am-corpus-christi/men/2013.html,/cbb/conferences/southland/men/2013.html,-11.78
28,/cbb/boxscores/2013-03-09-northwestern-state.html,"Sat, Mar 9, 2013",REG,Sam Houston,Southland,W,84,73,21,8,W 2,Prather Coliseum,/cbb/schools/northwestern-state/men/2013.html,,/cbb/schools/sam-houston-state/men/2013.html,/cbb/conferences/southland/men/2013.html,-6.48
29,/cbb/boxscores/2013-03-15-northwestern-state.html,"Fri, Mar 15, 2013",CTOURN,Sam Houston,Southland,W,55,52,22,8,W 3,Merrell Center,/cbb/schools/northwestern-state/men/2013.html,N,/cbb/schools/sam-houston-state/men/2013.html,/cbb/conferences/southland/men/2013.html,-6.48
30,/cbb/boxscores/2013-03-16-northwestern-state.html,"Sat, Mar 16, 2013",CTOURN,Stephen F. Austin,Southland,W,68,66,23,8,W 4,Merrell Center,/cbb/schools/northwestern-state/men/2013.html,N,/cbb/schools/stephen-f-austin/men/2013.html,/cbb/conferences/southland/men/2013.html,4.23
31,/cbb/boxscores/2013-03-22-florida.html,"Fri, Mar 22, 2013",NCAA,Florida,SEC,L,47,79,23,9,L 1,Frank Erwin Center,/cbb/schools/northwestern-state/men/2013.html,N,/cbb/schools/florida/men/2013.html,/cbb/conferences/sec/men/2013.html,23.88
